alpha-3,month,temperatureHigh,temperatureLow,uvIndex,avg_temp
HUN,01,40.508064516129025,28.020645161290325,1.032258064516129,34.26435483870968
HUN,02,51.82275862068966,35.698965517241376,1.793103448275862,43.76086206896552
HUN,03,55.47096774193549,36.04322580645161,2.935483870967742,45.75709677419354
HUN,04,66.8665,42.3565,5.3,54.6115
HUN,12,42.94,24.13,1.0,33.535
IDN,01,88.60129032258067,72.45903225806451,7.419354838709677,80.53016129032255
IDN,02,88.61206896551722,72.25310344827587,7.241379310344827,80.43258620689654
IDN,03,89.74999999999999,72.13387096774193,7.645161290322581,80.94193548387098
IDN,04,89.91850000000001,72.85650000000001,8.15,81.3875
IDN,12,89.31,71.76,6.0,80.535
IND,01,82.69806451612901,58.44580645161291,6.612903225806452,70.57193548387099
IND,02,89.57034482758621,62.2644827586207,8.517241379310345,75.91741379310345
IND,03,95.73709677419357,68.68290322580646,9.709677419354838,82.21000000000001
IND,04,103.5815,74.31199999999998,10.65,88.94675
IND,12,72.76,60.06,5.0,66.41
IRL,01,48.63870967741936,38.12677419354838,0.41935483870967744,43.38274193548388
IRL,02,48.41517241379309,36.96275862068964,1.0689655172413792,42.68896551724137
IRL,03,51.236875,36.1703125,2.1875,43.703593749999996
IRL,04,58.7875,38.935,3.65,48.861250000000005
IRN,01,53.025161290322586,30.397096774193557,3.5161290322580645,41.711129032258064
IRN,02,64.76275862068965,37.09172413793104,5.448275862068965,50.92724137931036
IRN,03,68.15967741935484,41.82870967741937,6.935483870967742,54.99419354838711
IRN,04,75.62199999999999,51.22950000000001,7.6,63.425749999999994
IRN,12,57.8,30.42,3.0,44.11
IRQ,01,64.12838709677418,45.251935483870966,2.838709677419355,54.69016129032257
IRQ,02,67.67413793103447,46.89000000000001,4.551724137931035,57.28206896551723
IRQ,03,78.09645161290322,55.888064516129035,5.741935483870968,66.99225806451614
IRQ,04,86.6115,61.85050000000001,6.85,74.23100000000001
IRQ,12,66.58,45.58,3.0,56.08
ISL,01,24.539677419354835,15.710967741935484,0.0,20.125322580645157
ISL,02,24.510689655172417,15.041034482758622,0.0,19.77586206896552
ISL,03,24.78774193548387,14.34064516129032,1.064516129032258,19.56419354838709
